[].objectID,[].isHighlight,[].accessionNumber,[].accessionYear,[].isPublicDomain,[].primaryImage,[].primaryImageSmall,[].additionalImages[],[].constituents.0.constituentID,[].constituents.0.role,[].constituents.0.name,[].constituents.0.constituentULAN_URL,[].constituents.0.constituentWikidata_URL,[].constituents.0.gender,[].department,[].objectName,[].title,[].culture,[].period,[].dynasty,[].reign,[].portfolio,[].artistRole,[].artistPrefix,[].artistDisplayName,[].artistDisplayBio,[].artistSuffix,[].artistAlphaSort,[].artistNationality,[].artistBeginDate,[].artistEndDate,[].artistGender,[].artistWikidata_URL,[].artistULAN_URL,[].objectDate,[].objectBeginDate,[].objectEndDate,[].medium,[].dimensions,[].measurements,[].creditLine,[].geographyType,[].city,[].state,[].county,[].country,[].region,[].subregion,[].locale,[].locus,[].excavation,[].river,[].classification,[].rightsAndReproduction,[].linkResource,[].metadataDate,[].repository,[].objectURL,[].tags,[].objectWikidata_URL,[].isTimelineWork,[].GalleryNumber,[].constituents,[].measurements.0.elementName,[].measurements.0.elementDescription,[].measurements.0.elementMeasurements.Diameter,[].tags.0.term,[].tags.0.AAT_URL,[].tags.0.Wikidata_URL,[].tags.1.term,[].tags.1.AAT_URL,[].tags.1.Wikidata_URL
1,false,1979.486.1,1979,false,,,,164292,Maker,James Barton Longacre,http://vocab.getty.edu/page/ulan/500011409,https://www.wikidata.org/wiki/Q3806459,,The American Wing,Coin,One-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,American	 Delaware County	 Pennsylvania 1794–1869 Philadelphia	 Pennsylvania,,Longacre	 James Barton,American,1794,1869,,https://www.wikidata.org/wiki/Q3806459,http://vocab.getty.edu/page/ulan/500011409,1853,1853,1853,Gold,Dimensions unavailable,null,Gift of Heinz L. Stoppelmann	 1979,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/1,null,,false,,,,,,,,,,,
2,false,1980.264.5,1980,false,,,,1079,Maker,Christian Gobrecht,http://vocab.getty.edu/page/ulan/500077295,https://www.wikidata.org/wiki/Q5109648,,The American Wing,Coin,Ten-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,Gobrecht	 Christian,American,1785,1844,,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1901,1901,1901,Gold,Dimensions unavailable,null,Gift of Heinz L. Stoppelmann	 1980,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/2,null,,false,,,,,,,,,,,
3,false,67.265.9,1967,false,,,,,,,,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),,Gift of C. Ruxton Love Jr.	 1967,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/3,null,,false,,null,Other,Object diameter,1.7463,,,,,,
4,false,67.265.10,1967,false,,,,,,,,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),,Gift of C. Ruxton Love Jr.	 1967,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/4,null,,false,,null,Other,Object diameter,1.7463,,,,,,
5,false,67.265.11,1967,false,,,,,,,,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),,Gift of C. Ruxton Love Jr.	 1967,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/5,null,,false,,null,Other,Object diameter,1.7463,,,,,,
6,false,67.265.12,1967,false,,,,,,,,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),,Gift of C. Ruxton Love Jr.	 1967,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/6,null,,false,,null,Other,Object diameter,1.7463,,,,,,
7,false,67.265.13,1967,false,,,,,,,,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),,Gift of C. Ruxton Love Jr.	 1967,,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,Metropolitan Museum of Art	 New York	 NY,https://www.metmuseum.org/art/collection/search/7,,,false,,null,Other,Object diameter,1.7463,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,Coins,http://vocab.getty.edu/page/aat/300037222,https://www.wikidata.org/wiki/Q41207
